# DRAFT emoji-data.txt
# For details about the format and other information, see index.html#Data_Files.
#
# Format
# Code ;  Default Style ; Ordering ;  Annotations ; Sources # Version Char Name
#
U+1F635 ; emoji ; 56 ;  dizzy, face, human ;  j   # V6.0 (😵) dizzy face
U+1F636 ; emoji ; 57 ;  face, human, mouth, silent ;  x   # V6.0 (😶) face without mouth
U+1F637 ; emoji ; 58 ;  cold, face, human, mask, medical, under, weather ;  j   # V6.0 (😷) face with medical mask
U+1F607 ; emoji ; 59 ;  angel, face, fantasy, halo, human, innocent, smile, smiley, smiling ; x   # V6.0 (😇) smiling face with halo
U+1F47C ; emoji ; 60 ;  angel, baby, face, fairy tale, fantasy, human ; j   # V6.0 (👼) baby angel
U+1F608 ; emoji ; 61 ;  face, fantasy, horn, human, smile, smiley, smiling ;  x   # V6.0 (😈) smiling face with horns
U+1F47F ; emoji ; 62 ;  devil, face, fairy tale, fantasy, human, imp ;  j   # V6.0 (👿) imp
U+3020 ;  text ;  63 ;  face, human, postal, sign ; x   # V1.1 (〠) postal mark face
U+1F466 ; emoji ; 64 ;  boy, human, person ;  j   # V6.0 (👦) boy
U+1F467 ; emoji ; 65 ;  girl, human, person ; j   # V6.0 (👧) girl
U+1F468 ; emoji ; 66 ;  human, man, person ;  j   # V6.0 (👨) man
U+1F469 ; emoji ; 67 ;  human, person, woman ;  j   # V6.0 (👩) woman
U+1F46E ; emoji ; 68 ;  cop, human, officer, person, police ; j   # V6.0 (👮) police officer
U+1F471 ; emoji ; 69 ;  blond, human, person ;  j   # V6.0 (👱) person with blond hair
U+1F472 ; emoji ; 70 ;  gua, human, man, mao, person, pi ;  j   # V6.0 (👲) man with gua pi mao
U+1F473 ; emoji ; 71 ;  human, man, person, turban ;  j   # V6.0 (👳) man with turban
U+1F474 ; emoji ; 72 ;  human, man, old, person ; j   # V6.0 (👴) older man
U+1F475 ; emoji ; 73 ;  human, old, person, woman ; j   # V6.0 (👵) older woman
U+1F476 ; emoji ; 74 ;  baby, human, person ; j   # V6.0 (👶) baby
U+1F477 ; emoji ; 75 ;  construction, human, person, worker ; j   # V6.0 (👷) construction worker
U+1F478 ; emoji ; 76 ;  fairy tale, fantasy, human, person, princess ;  j   # V6.0 (👸) princess
U+1F481 ; emoji ; 77 ;  help, human, information, person ;  j   # V6.0 (💁) information desk person
U+1F482 ; emoji ; 78 ;  guard, guardsman, human, person ; j   # V6.0 (💂) guardsman
U+1F572 ; emoji ; 79 ;  forbidden, human, no, not, person, piracy, prohibited ; w   # V7.0 (🕲) no piracy
U+1F575 ; emoji ; 80 ;  human, person, sleuth, spy ;  w   # V7.0 (🕵) sleuth or spy
U+1F46F ; emoji ; 81 ;  bunny, dancers, ear, girl, human, person, woman ; j   # V6.0 (👯) woman with bunny ears
U+1F486 ; emoji ; 82 ;  face, human, massage, person, salon ; j   # V6.0 (💆) face massage
U+1F487 ; emoji ; 83 ;  barber, beauty, haircut, human, parlor, person ;  j   # V6.0 (💇) haircut
U+1F48F ; emoji ; 84 ;  couplekiss, human, kiss, person, romance ;  j   # V6.0 (💏) kiss
U+1F491 ; emoji ; 85 ;  couple, heart, human, person, romance ; j   # V6.0 (💑) couple with heart
U+1F470 ; emoji ; 86 ;  bride, human, person, veil, wedding ; j   # V6.0 (👰) bride with veil
U+1F64D ; emoji ; 87 ;  frowning, gesture, human, person ;  j   # V6.0 (🙍) person frowning
U+1F64E ; emoji ; 88 ;  face, gesture, human, person, pouting ; j   # V6.0 (🙎) person with pouting face
U+1F645 ; emoji ; 89 ;  face, forbidden, gesture, human, no, not, person, prohibited ;  j   # V6.0 (🙅) face with no good gesture
U+1F646 ; emoji ; 90 ;  face, gesture, human, ok, person ;  j   # V6.0 (🙆) face with ok gesture
U+1F647 ; emoji ; 91 ;  apology, bow, gesture, human, person, sorry ; j   # V6.0 (🙇) person bowing deeply
U+1F64B ; emoji ; 92 ;  gesture, hand, happy, human, person, raise ;  j   # V6.0 (🙋) happy person raising one hand
U+1F64C ; emoji ; 93 ;  body, celebration, gesture, hand, hooray, human, person, raise ;  j   # V6.0 (🙌) person raising both hands in celebration
U+1F64F ; emoji ; 94 ;  ask, body, folded, gesture, hand, human, person, please, pray, prayer, praying, thanks ;  j   # V6.0 (🙏) person with folded hands
U+1F5E3 ; emoji ; 95 ;  face, head, human, person, rating, silhouette, speaking ; w   # V7.0 (🗣) speaking head in silhouette
U+1F464 ; emoji ; 96 ;  bust, human, person, silhouette ; j   # V6.0 (👤) bust in silhouette
U+1F465 ; emoji ; 97 ;  bust, human, person, silhouette ; x   # V6.0 (👥) busts in silhouette
U+1F6C9 ; emoji ; 98 ;  boy, human, person ;  w   # V7.0 (🛉) boys symbol
U+1F6CA ; emoji ; 99 ;  girl, human, person ; w   # V7.0 (🛊) girls symbol
U+1F6B6 ; emoji ; 100 ; hiker, hiking, human, pedestrian, person, travel, walk, walker, walking ; j   # V6.0 (🚶) pedestrian
U+1F3C3 ; emoji ; 101 ; human, marathon, person, runner, running, sport ; j   # V6.0 (🏃) runner
U+1F483 ; emoji ; 102 ; dancer, human, person ; j   # V6.0 (💃) dancer
U+1F574 ; emoji ; 103 ; business, human, man, person, suit ;  w   # V7.0 (🕴) man in business suit levitating
U+1F46A ; emoji ; 104 ; child, family, father, human, mother, person ;  jw  # V6.0 (👪) family
U+1F46B ; emoji ; 105 ; couple, hand, hold, human, man, person, woman ; j   # V6.0 (👫) man and woman holding hands
U+1F46C ; emoji ; 106 ; couple, hand, hold, human, men, person ;  x   # V6.0 (👬) two men holding hands
U+1F46D ; emoji ; 107 ; couple, hand, hold, human, person, woman ;  x   # V6.0 (👭) two women holding hands
U+1F448 ; emoji ; 108 ; backhand, body, finger, hand, human, index, point ; jw  # V6.0 (👈) white left pointing backhand index
U+261A ;  text ;  109 ; body, finger, hand, human, index, point ; x   # V1.1 (☚) black left pointing index
U+261C ;  text ;  110 ; body, finger, hand, human, index, point ; w   # V1.1 (☜) white left pointing index
U+1F59A ; emoji ; 111 ; body, finger, hand, human, index, point ; w   # V7.0 (🖚) sideways black left pointing index
U+1F598 ; emoji ; 112 ; body, finger, hand, human, index, point ; w   # V7.0 (🖘) sideways white left pointing index
U+1F59C ; emoji ; 113 ; backhand, body, finger, hand, human, index, point ; w   # V7.0 (🖜) black left pointing backhand index
U+1F449 ; emoji ; 114 ; backhand, body, finger, hand, human, index, point ; jw  # V6.0 (👉) white right pointing backhand index
U+261B ;  text ;  115 ; body, finger, hand, human, index, point ; z   # V1.1 (☛) black right pointing index
U+261E ;  text ;  116 ; body, finger, hand, human, index, point ; zw  # V1.1 (☞) white right pointing index
U+1F59D ; emoji ; 117 ; backhand, body, finger, hand, human, index, point ; w   # V7.0 (🖝) black right pointing backhand index
U+1F59B ; emoji ; 118 ; body, finger, hand, human, index, point ; w   # V7.0 (🖛) sideways black right pointing index
